amfi_code,mean,std,annual_return,annual_volatility,sharpe_ratio
148567,0.001073675403449081,0.008941194822595979,0.27056620166916845,0.14193706754620344,1.4482911703262604
120843,0.001081754914045031,0.010007860815167777,0.2726022383393478,0.15886986523609253,1.3067439695428413
148569,0.0011240540293206527,0.011133577708427352,0.28326161538880446,0.176740066913467,1.2349300257743292
119551,0.0009167982325947294,0.008656289856377569,0.2310331546138718,0.1374143414187964,1.2082665673727178
120505,0.0011613203372383767,0.012152155877011198,0.2926527249840709,0.1929094940631819,1.1801011976606495
149323,0.0010551910655344048,0.011179029641055074,0.26590814851467,0.17746159397550829,1.1321218524747252
100033,0.0010798038431409668,0.011929006552266409,0.27211056847152365,0.18936710835214166,1.093698743534631
118632,0.0008652259973214283,0.008912624198545506,0.21803695132499992,0.1414835229499666,1.0816591793457038
101206,0.0008517723174694551,0.009177111485957208,0.2146466240023027,0.1456821284745432,1.0272133278753697
120504,0.0008430464116382315,0.009048331253877995,0.21244769573283434,0.1436378056673665,1.0265242847993006
119094,0.0010266978562569042,0.012225334849231509,0.25872785977673984,0.19407117423334738,0.9982309868636403
119552,0.0007852425930349881,0.008780976223037761,0.197881133444817,0.13939367612717493,0.953279496866011
149324,0.0011941715475284602,0.015647858323745815,0.300931229977172,0.24840205005242075,0.949795824661604
119598,0.0012010157369980656,0.015837075918187664,0.30265596572351255,0.2514057862438468,0.9453082575156093
148568,0.0008250722735460028,0.009719447430866661,0.20791821293359272,0.15429144469823303,0.9262873467360141
102885,0.0006741587522893979,0.008086315812687744,0.16988800557692826,0.12836628397860558,0.817099337349437
120503,0.000697595408431375,0.008746373512793114,0.1757940429247065,0.13884437513119793,0.7979728586052844
125497,0.0007095223731125696,0.009240517486188763,0.17879963802436752,0.14668866752399518,0.7757902498211205
118635,0.000600473969875538,0.00817862133654339,0.15131944040863557,0.12983158874316303,0.6648569985490621
120506,0.0006501094769466271,0.00959432349516923,0.16382758819055004,0.15230516379673079,0.6488787755249528
118633,0.0006163137445172902,0.008817415800853675,0.15531106361835714,0.1399721364918615,0.6452074382933218
102887,0.000645340694310669,0.009926838079358378,0.1626258549662886,0.15758366917913,0.6195175900829826
120507,0.0002676525413793258,0.00031113570896708256,0.0674484404275901,0.004939126259512018,0.495723392953312
120841,0.0005220152587214266,0.008481394140912235,0.1315478451977995,0.1346379580078445,0.4942725378672348
149322,0.0005222511308194414,0.009042081769919413,0.13160728496649923,0.14353859818510514,0.46403744922047735
118634,0.0007071093821003067,0.01590066360405823,0.1781915642892773,0.2524152094634045,0.4484340089089915
125498,0.00047686346287115325,0.011560944277330919,0.12016959264353062,0.18352430087335772,0.3006119210425479
101207,0.0004244528681492361,0.01625078549471168,0.1069621227736075,0.25797322217077717,0.16266076928646786
119093,0.00032985864437101356,0.008808648249969934,0.08312437838149542,0.1398329559363886,0.12961449795669325
120842,0.0003119045881482731,0.011272610878515412,0.07859995621336482,0.1789471500657187,0.07599984804658923
119092,0.0002749789297660477,0.008788090603213455,0.06929469030104402,0.13950661341123846,0.030784850954585916
119599,0.00020131692580289563,0.015717101489290827,0.0507318653023297,0.24950125122855862,-0.05718662582817995
119095,0.00018236517391230026,0.01579046131293056,0.04595602382589967,0.25066580232600433,-0.07597357117478923
120844,0.0002561287499929851,0.0003233593463542916,0.06454444499823224,0.005133170487371137,-0.08874729621557288
100016,0.00014159930699210853,0.009164463506291045,0.03568302536201135,0.14548134802183876,-0.20151706755966936
102886,0.0001098147223397074,0.011423709289098147,0.027673310029606265,0.181345762973113,-0.2058316078547031
119120,0.00022226830595075775,0.0024990143961777064,0.056011613099590955,0.03967062369033872,-0.22657538662791568
118636,0.00020153331311365723,0.002510653047599153,0.050786394904641624,0.039855381553882616,-0.35662950751436784
100025,0.00017005379350090052,0.0024600734466666972,0.04285355596222693,0.039052455281001604,-0.5670947928476846
101208,0.00024154628565905978,0.00031902540821652635,0.06086966398608307,0.0050643713523107455,-0.8155673679088258
